pressure,diameter,alpha,beta,gamma,error,converged
0.3,0.2,-0.25,1.3,0.75,18.139329662895612,False
0.3,0.2,-0.25,1.3,0.775,16.556923749890796,True
0.3,0.2,-0.25,1.3,0.8,15.581020023593917,True
0.3,0.2,-0.25,1.3,0.8250000000000001,15.18181507308017,True
0.3,0.2,-0.25,1.3,0.8500000000000001,15.316107357735003,True
0.3,0.2,-0.25,1.3,0.8750000000000001,15.996933010147933,True
0.3,0.2,-0.25,1.3,0.9000000000000001,17.362072088113457,True
0.3,0.2,-0.25,1.3,0.9250000000000002,19.33956039738366,True
0.3,0.2,-0.25,1.3,0.9500000000000002,21.61114247792138,True
0.3,0.2,-0.25,1.3,0.9750000000000002,24.00657190809067,True
0.3,0.2,-0.25,1.35,0.75,16.35212589975648,True
0.3,0.2,-0.25,1.35,0.775,16.044121321504907,True
0.3,0.2,-0.25,1.35,0.8,16.362671796986184,True
0.3,0.2,-0.25,1.35,0.8250000000000001,17.159524320324085,True
0.3,0.2,-0.25,1.35,0.8500000000000001,18.309977924095886,True
0.3,0.2,-0.25,1.35,0.8750000000000001,19.791281026564256,True
0.3,0.2,-0.25,1.35,0.9000000000000001,21.74802425176435,True
0.3,0.2,-0.25,1.35,0.9250000000000002,24.144883414777286,True
0.3,0.2,-0.25,1.35,0.9500000000000002,26.708921423871125,True
0.3,0.2,-0.25,1.35,0.9750000000000002,29.30847157616434,True
0.3,0.2,-0.2,1.25,0.75,18.15661698341398,True
0.3,0.2,-0.2,1.25,0.775,17.17843307587573,True
0.3,0.2,-0.2,1.25,0.8,16.828393644696828,True
0.3,0.2,-0.2,1.25,0.8250000000000001,17.030272077008696,True
0.3,0.2,-0.2,1.25,0.8500000000000001,17.698278873945718,True
0.3,0.2,-0.2,1.25,0.8750000000000001,18.811631192605503,True
0.3,0.2,-0.2,1.25,0.9000000000000001,20.496587167671244,True
0.3,0.2,-0.2,1.25,0.9250000000000002,22.695264893799326,True
0.3,0.2,-0.2,1.25,0.9500000000000002,25.115360607131045,True
